name,x,y,z,theta_rad1,theta_rad2,theta_rad3
2011_09_26_drive_0002_sync_0000000010,0,0.31,0,1.85,3.18,-4.35
2011_09_26_drive_0002_sync_0000000029,0,0.34,0.13,0,0,2.66
2011_09_26_drive_0002_sync_0000000074,0,0,0,2.54,0,0
2011_09_26_drive_0002_sync_0000000040,-0.14,-0.39,-0.38,-0.57,4.42,0
2011_09_26_drive_0002_sync_0000000017,0,0,0,0,0,3.62
2011_09_26_drive_0002_sync_0000000052,0.31,0.4,0,-4.22,-1.28,0
2011_09_26_drive_0002_sync_0000000044,0.15,0,0.28,0,0,0.84
2011_09_26_drive_0002_sync_0000000034,0.31,0.16,0,0,-4.51,0.68
2011_09_26_drive_0002_sync_0000000049,0,0,0,0,0,1.72
2011_09_26_drive_0002_sync_0000000054,0,0.32,0,0,0,0
2011_09_26_drive_0002_sync_0000000016,0,0,-0.28,0,0,0.98
2011_09_26_drive_0002_sync_0000000055,0,-0.21,-0.37,-3.3,3.59,1.84
2011_09_26_drive_0002_sync_0000000036,0,-0.13,0.33,4.84,1.32,0.75
2011_09_26_drive_0002_sync_0000000066,0,0.46,0,-1.64,-3.19,-4.77
2011_09_26_drive_0002_sync_0000000035,0,0.45,-0.4,0.94,2.55,1.21
2011_09_26_drive_0002_sync_0000000050,0.29,-0.33,0,0,0,0
2011_09_26_drive_0002_sync_0000000041,0,-0.14,0,2.7,-4.0,-3.61
2011_09_26_drive_0002_sync_0000000042,-0.44,0,-0.37,2.44,-1.73,0.78
2011_09_26_drive_0002_sync_0000000037,0.47,-0.2,-0.38,-3.37,1.85,0
2011_09_26_drive_0002_sync_0000000022,0,0,0,3.22,2.34,0.74
2011_09_26_drive_0002_sync_0000000015,0,0,0,1.82,-0.95,0
2011_09_26_drive_0002_sync_0000000043,0,-0.15,0,0,2.58,-1.74
2011_09_26_drive_0002_sync_0000000045,0.13,0,-0.45,0,0,0
2011_09_26_drive_0002_sync_0000000056,0,0,0,3.53,4.48,0
2011_09_26_drive_0002_sync_0000000006,-0.48,0,-0.44,0,0,0
2011_09_26_drive_0002_sync_0000000020,0,0.27,0.41,-1.35,-3.01,1.25
2011_09_26_drive_0002_sync_0000000038,0,0.27,0,0.52,0,0
2011_09_26_drive_0002_sync_0000000070,0,0.49,-0.32,1.3,3.54,1.01
2011_09_26_drive_0002_sync_0000000075,-0.27,0.16,0.33,0,4.87,-1.09
2011_09_26_drive_0002_sync_0000000047,0,0,0,0,0,3.33
2011_09_26_drive_0002_sync_0000000065,0,0,0,-1.0,-3.47,1.85
2011_09_26_drive_0002_sync_0000000012,0.37,0,0.3,0,-4.46,1.28
2011_09_26_drive_0002_sync_0000000071,0,0.42,0,0,0,0
2011_09_26_drive_0002_sync_0000000013,0,0,0,-0.65,0,0
2011_09_26_drive_0002_sync_0000000019,0,-0.48,0,-4.22,-1.8,-1.35
2011_09_26_drive_0002_sync_0000000039,0.26,0,-0.25,0,0,0
2011_09_26_drive_0002_sync_0000000059,0.25,0,0,-2.3,0,-2.26
2011_09_26_drive_0002_sync_0000000027,0,-0.36,-0.33,3.12,3.67,3.67
2011_09_26_drive_0002_sync_0000000060,0,0.23,0,1.46,0,-2.32
2011_09_26_drive_0002_sync_0000000007,0,0,0,4.74,4.7,4.3
2011_09_26_drive_0002_sync_0000000011,0,0,0.48,0,0,0
2011_09_26_drive_0002_sync_0000000076,0,0.38,0,-1.86,3.0,0
2011_09_26_drive_0002_sync_0000000062,0.12,0,-0.49,-4.94,0,0
2011_09_26_drive_0002_sync_0000000032,-0.5,0,0.24,-3.17,0,0
2011_09_26_drive_0002_sync_0000000026,0,0,0,2.48,0,0
2011_09_26_drive_0002_sync_0000000023,0,0.43,0.29,0,0,0
2011_09_26_drive_0002_sync_0000000005,0,-0.34,-0.38,-3.5,0,0
2011_09_26_drive_0002_sync_0000000018,0.49,-0.49,0.24,2.03,-4.38,0
2011_09_26_drive_0002_sync_0000000073,0,-0.4,0,-3.06,2.98,-3.78
2011_09_26_drive_0002_sync_0000000051,0.11,0,0,0,0,0
2011_09_26_drive_0002_sync_0000000068,0.49,0,0,0,2.07,0
2011_09_26_drive_0002_sync_0000000025,0,-0.44,0.42,0,3.31,3.83
2011_09_26_drive_0002_sync_0000000024,-0.31,0,0,0,0,0
2011_09_26_drive_0002_sync_0000000030,0,0.1,0,0,2.47,-2.77
2011_09_26_drive_0002_sync_0000000058,0,0,0,-4.15,0,0
2011_09_26_drive_0002_sync_0000000002,0.26,0.48,-0.16,0,4.79,0
2011_09_26_drive_0002_sync_0000000072,0,0.39,0,0,4.64,2.56
2011_09_26_drive_0002_sync_0000000001,0,-0.39,0.15,2.43,-3.03,-4.09
2011_09_26_drive_0002_sync_0000000008,-0.21,0,-0.25,4.06,0,4.28
2011_09_26_drive_0002_sync_0000000057,0.15,0,-0.42,0.69,-2.31,-2.44
2011_09_26_drive_0002_sync_0000000009,-0.47,0,0,0,0,0
2011_09_26_drive_0002_sync_0000000004,0,-0.36,-0.34,2.93,-1.55,0
2011_09_26_drive_0002_sync_0000000014,-0.12,0,0.26,0,0,0
2011_09_26_drive_0002_sync_0000000021,0,-0.44,-0.28,-4.96,-0.92,0
2011_09_26_drive_0002_sync_0000000028,-0.35,-0.18,0,0,2.19,-2.41
2011_09_26_drive_0002_sync_0000000053,0,-0.27,0,0,1.21,0
2011_09_26_drive_0002_sync_0000000063,0,-0.19,0.36,-4.63,-3.72,-1.15
2011_09_26_drive_0002_sync_0000000067,0,0.5,0.3,-4.9,4.62,0
2011_09_26_drive_0002_sync_0000000033,0,-0.31,-0.41,-1.66,1.42,-3.23
2011_09_26_drive_0002_sync_0000000031,0,0,-0.41,0,0,0
2011_09_26_drive_0002_sync_0000000064,0,-0.18,-0.22,0,1.5,2.81
2011_09_26_drive_0002_sync_0000000003,0,-0.14,-0.42,3.55,1.11,-1.0
2011_09_26_drive_0002_sync_0000000061,0,0,0.47,0,1.26,0
2011_09_26_drive_0002_sync_0000000046,0,0,0,-1.45,0,0
2011_09_26_drive_0002_sync_0000000000,-0.49,0,-0.28,0,-1.96,-1.98
2011_09_26_drive_0005_sync_0000000048,0.11,0,0,-2.52,0,-1.25
2011_09_26_drive_0005_sync_0000000143,0,0,0,0,2.81,0
2011_09_26_drive_0005_sync_0000000069,-0.13,0.36,0,-4.77,3.67,-0.52
2011_09_26_drive_0005_sync_0000000099,0,0,0,0,-3.02,0
2011_09_26_drive_0005_sync_0000000010,-0.24,0,0,0,-2.25,-1.36
2011_09_26_drive_0005_sync_0000000138,0.48,0,0,-4.78,0,0
2011_09_26_drive_0005_sync_0000000153,-0.17,0,0,1.14,4.54,0
2011_09_26_drive_0005_sync_0000000029,-0.15,0,0.13,-3.9,-4.73,0
2011_09_26_drive_0005_sync_0000000135,-0.44,-0.29,0.15,-1.94,0,-1.12
2011_09_26_drive_0005_sync_0000000079,0,-0.38,-0.47,0,0.73,0
2011_09_26_drive_0005_sync_0000000074,0,0,0,-2.42,0,0
2011_09_26_drive_0005_sync_0000000128,-0.17,-0.26,-0.26,-1.45,0,-4.1
2011_09_26_drive_0005_sync_0000000121,0,0.46,-0.49,0,0,0
2011_09_26_drive_0005_sync_0000000040,-0.3,0,0.3,4.39,4.73,0
2011_09_26_drive_0005_sync_0000000125,0,0.26,0,0,0,0
2011_09_26_drive_0005_sync_0000000090,0,-0.42,0.22,-3.3,0,4.86
2011_09_26_drive_0005_sync_0000000017,-0.48,0,0,0,0,2.63
2011_09_26_drive_0005_sync_0000000148,0,0,0,0,0,0.96
2011_09_26_drive_0005_sync_0000000144,0,0.22,0.16,3.03,-2.34,-4.66
2011_09_26_drive_0005_sync_0000000095,0,0.31,0,0,2.78,0
2011_09_26_drive_0005_sync_0000000126,0,0,0.15,0,0,0
2011_09_26_drive_0005_sync_0000000145,0,0.13,0,0,0,0
2011_09_26_drive_0005_sync_0000000113,-0.11,0,0.42,0,0,0
2011_09_26_drive_0005_sync_0000000092,0.27,0.27,-0.32,-1.95,0,-0.98
2011_09_26_drive_0005_sync_0000000103,0,0,0,0,0,1.53
2011_09_26_drive_0005_sync_0000000052,0.34,0.21,-0.25,0,0,0
2011_09_26_drive_0005_sync_0000000137,0,0,-0.28,0,0,0
2011_09_26_drive_0005_sync_0000000117,0.43,0.37,-0.24,0,-0.98,-1.64
2011_09_26_drive_0005_sync_0000000142,-0.4,0.24,0.37,0,-4.38,0
2011_09_26_drive_0005_sync_0000000044,0,0,-0.25,-4.92,0,-2.8
2011_09_26_drive_0005_sync_0000000083,0,-0.43,-0.2,0,0,0
2011_09_26_drive_0005_sync_0000000034,0,0,-0.33,-2.34,0,1.82
2011_09_26_drive_0005_sync_0000000123,0,0,0,0,0,3.16
2011_09_26_drive_0005_sync_0000000129,0.31,0.19,-0.12,4.06,-3.15,0
2011_09_26_drive_0005_sync_0000000049,0.34,0,0,0,0,0
2011_09_26_drive_0005_sync_0000000077,0.24,0.43,0,2.79,-1.91,-3.95
2011_09_26_drive_0005_sync_0000000054,0,0,0,0.66,2.0,-2.62
2011_09_26_drive_0005_sync_0000000152,0,0,0,0,-1.85,-1.48
2011_09_26_drive_0005_sync_0000000130,0,0,0,0,0,1.43
2011_09_26_drive_0005_sync_0000000016,0,0,0,2.69,-2.79,0
2011_09_26_drive_0005_sync_0000000105,0,0.28,0.48,4.38,-2.93,-1.08
2011_09_26_drive_0005_sync_0000000055,0,-0.12,-0.39,-4.58,0,1.42
2011_09_26_drive_0005_sync_0000000134,0,-0.34,0,1.43,0,0
2011_09_26_drive_0005_sync_0000000036,0,-0.47,0.36,-4.06,4.02,-3.34
2011_09_26_drive_0005_sync_0000000066,0,0,0,0,4.36,3.41
2011_09_26_drive_0005_sync_0000000094,0,0,0,2.27,-1.71,0
2011_09_26_drive_0005_sync_0000000035,0,0.31,0,0,0,0
2011_09_26_drive_0005_sync_0000000050,0,0,-0.25,1.08,0.87,0
2011_09_26_drive_0005_sync_0000000100,0.16,0.48,0,1.75,-4.38,-4.27
2011_09_26_drive_0005_sync_0000000149,0,0.23,0.23,0,0,1.16
2011_09_26_drive_0005_sync_0000000136,0.42,-0.29,0.48,0,-4.28,4.57
2011_09_26_drive_0005_sync_0000000041,0,0,0.4,-4.45,0,0
2011_09_26_drive_0005_sync_0000000141,0.3,-0.25,-0.25,0,1.11,-4.31
2011_09_26_drive_0005_sync_0000000084,0,0,0,2.22,0,0
2011_09_26_drive_0005_sync_0000000042,-0.25,0.4,0,0,0,0
2011_09_26_drive_0005_sync_0000000037,-0.34,0.39,0.46,3.27,0.87,0
2011_09_26_drive_0005_sync_0000000022,-0.12,-0.35,-0.28,0,0,0
2011_09_26_drive_0005_sync_0000000108,0.14,0.34,0,4.5,-1.57,0
2011_09_26_drive_0005_sync_0000000015,0,0,0.45,0,0,3.65
2011_09_26_drive_0005_sync_0000000110,-0.16,0,0.43,1.03,-1.11,0.71
2011_09_26_drive_0005_sync_0000000087,0,-0.1,-0.39,-4.36,3.34,-3.36
2011_09_26_drive_0005_sync_0000000043,0,0.14,0,2.56,0,0
2011_09_26_drive_0005_sync_0000000045,-0.36,-0.32,-0.25,-3.59,0,1.32
2011_09_26_drive_0005_sync_0000000056,0,0.37,0,0,0,0
2011_09_26_drive_0005_sync_0000000006,-0.14,0,0.32,-0.54,-3.32,3.86
2011_09_26_drive_0005_sync_0000000020,-0.45,0,0,0,-1.29,0
2011_09_26_drive_0005_sync_0000000133,0,0,-0.21,2.84,-3.16,-4.99
2011_09_26_drive_0005_sync_0000000132,-0.27,0.24,0,-2.88,1.62,1.73
2011_09_26_drive_0005_sync_0000000122,0.17,0,-0.43,-4.23,1.68,0
2011_09_26_drive_0005_sync_0000000038,0,0,0,0,2.22,3.32
2011_09_26_drive_0005_sync_0000000070,0,0,-0.16,2.83,4.34,0
2011_09_26_drive_0005_sync_0000000075,0,0,0,-3.24,1.38,1.2
2011_09_26_drive_0005_sync_0000000047,0,0.35,0,1.3,0,0
2011_09_26_drive_0005_sync_0000000065,0,0,0,0,0,2.93
2011_09_26_drive_0005_sync_0000000012,0,0.18,-0.13,0.71,0,0
2011_09_26_drive_0005_sync_0000000071,0,0,0,1.28,0,0
2011_09_26_drive_0005_sync_0000000013,0,-0.24,-0.38,1.24,-3.93,4.07
2011_09_26_drive_0005_sync_0000000019,0.29,0,0.22,0.5,-4.45,-3.95
2011_09_26_drive_0005_sync_0000000039,0,-0.24,0,0,2.6,0
2011_09_26_drive_0005_sync_0000000131,0.16,0,0,2.0,0,0
2011_09_26_drive_0005_sync_0000000059,-0.26,-0.16,-0.31,2.78,0,0
2011_09_26_drive_0005_sync_0000000027,-0.46,0.23,-0.45,0,-4.47,4.11
2011_09_26_drive_0005_sync_0000000104,0,0.11,-0.19,-2.56,-4.7,2.73
2011_09_26_drive_0005_sync_0000000151,0,0.32,0,0,0,0
2011_09_26_drive_0005_sync_0000000082,0.37,0,0,4.92,0,0
2011_09_26_drive_0005_sync_0000000060,0,0,0,-2.59,0,0
2011_09_26_drive_0005_sync_0000000147,0,0,0.42,-3.83,2.64,4.64
2011_09_26_drive_0005_sync_0000000086,0,-0.49,-0.33,2.02,0,2.01
2011_09_26_drive_0005_sync_0000000116,0.46,0,0.28,1.9,2.7,0
2011_09_26_drive_0005_sync_0000000007,0.41,0,0,0,0,0.83
2011_09_26_drive_0005_sync_0000000102,0.19,0.13,0,-1.12,0,0
2011_09_26_drive_0005_sync_0000000120,-0.46,-0.34,-0.24,3.41,0,-4.69
2011_09_26_drive_0005_sync_0000000011,0,0.31,0,0,0,0
2011_09_26_drive_0005_sync_0000000088,0,0.26,0,0,0,0
2011_09_26_drive_0005_sync_0000000076,0.18,0,-0.31,0,0,0
2011_09_26_drive_0005_sync_0000000093,-0.32,0,-0.34,-0.89,4.99,-2.17
2011_09_26_drive_0005_sync_0000000062,-0.4,0,0.33,-4.62,-0.9,0
2011_09_26_drive_0005_sync_0000000106,0,0,0,-0.59,-2.32,1.69
2011_09_26_drive_0005_sync_0000000080,-0.18,0,-0.47,0,3.86,0
2011_09_26_drive_0005_sync_0000000032,0,0,0,0,0,-1.56
2011_09_26_drive_0005_sync_0000000026,-0.23,0,0,0.87,0.53,1.42
2011_09_26_drive_0005_sync_0000000023,0,0,-0.26,0,0.81,0
2011_09_26_drive_0005_sync_0000000091,0.13,-0.27,-0.17,0,0,0
2011_09_26_drive_0005_sync_0000000005,0,-0.46,0.2,0,2.34,4.63
2011_09_26_drive_0005_sync_0000000018,0,-0.29,0,0,0,0
2011_09_26_drive_0005_sync_0000000109,0,0.37,0,2.4,0,3.26
2011_09_26_drive_0005_sync_0000000101,-0.11,-0.29,-0.21,0,2.68,-4.08
2011_09_26_drive_0005_sync_0000000081,0.29,0.4,0,2.74,0,1.79
2011_09_26_drive_0005_sync_0000000073,0.11,-0.36,0,0.65,2.76,0
2011_09_26_drive_0005_sync_0000000140,-0.25,0.46,0.35,0,0,1.62
2011_09_26_drive_0005_sync_0000000098,0,0,0,2.54,3.2,0
2011_09_26_drive_0005_sync_0000000085,0.23,0.38,0,-1.03,0,2.22
2011_09_26_drive_0005_sync_0000000051,-0.43,-0.26,0,3.52,-3.16,3.3
2011_09_26_drive_0005_sync_0000000068,0,0,0,-1.49,-3.08,0
2011_09_26_drive_0005_sync_0000000025,0.38,0,-0.46,3.75,3.55,0
2011_09_26_drive_0005_sync_0000000024,-0.3,0.48,-0.39,-2.99,0,3.59
2011_09_26_drive_0005_sync_0000000030,-0.13,0,0,0,0,0
2011_09_26_drive_0005_sync_0000000112,0,0.37,0.34,0.97,0,1.41
2011_09_26_drive_0005_sync_0000000058,0.12,0,0,0.99,0,0
2011_09_26_drive_0005_sync_0000000150,0.43,0.19,0,-2.02,0,0
2011_09_26_drive_0005_sync_0000000002,0,0.37,0.23,0,0,0
2011_09_26_drive_0005_sync_0000000118,0,0.24,-0.18,-2.31,1.1,-2.29
2011_09_26_drive_0005_sync_0000000072,0.31,0,0,0,0,0
2011_09_26_drive_0005_sync_0000000146,0,0,0.26,-1.21,0,0
2011_09_26_drive_0005_sync_0000000114,-0.38,-0.34,0.2,-3.12,0.87,0
2011_09_26_drive_0005_sync_0000000001,0,0.35,0,-2.57,-3.06,0
2011_09_26_drive_0005_sync_0000000119,0,-0.38,0,0,0,3.06
2011_09_26_drive_0005_sync_0000000124,-0.18,0,0,2.65,0,0.53
2011_09_26_drive_0005_sync_0000000008,0.22,-0.49,0.37,1.06,0,-1.28
2011_09_26_drive_0005_sync_0000000057,0,0.5,-0.31,-1.9,0,0
2011_09_26_drive_0005_sync_0000000009,-0.11,0,-0.19,0,0,-0.94
2011_09_26_drive_0005_sync_0000000078,0,-0.18,0.16,0,0,0
2011_09_26_drive_0005_sync_0000000004,-0.34,0,0,2.25,-2.35,-4.49
2011_09_26_drive_0005_sync_0000000014,0,0,0.23,-1.86,-1.85,-1.27
2011_09_26_drive_0005_sync_0000000021,0,0,0,0,0,0.98
2011_09_26_drive_0005_sync_0000000107,-0.31,0,0.33,0,0,1.24
2011_09_26_drive_0005_sync_0000000028,-0.23,-0.16,0,0,-4.75,-1.15
2011_09_26_drive_0005_sync_0000000053,0,0,0,4.86,0,0
2011_09_26_drive_0005_sync_0000000115,0,0,0,0,2.63,0
2011_09_26_drive_0005_sync_0000000063,0,0,0,-0.52,0,0
2011_09_26_drive_0005_sync_0000000067,0,0,0,0,0,1.04
2011_09_26_drive_0005_sync_0000000097,0.37,0,0,4.11,-4.31,-2.58
2011_09_26_drive_0005_sync_0000000111,0.21,0,0.46,-3.79,-2.09,0
2011_09_26_drive_0005_sync_0000000033,0.5,-0.24,0,0,1.74,-0.82
2011_09_26_drive_0005_sync_0000000031,0.18,-0.39,-0.4,0,0,0
2011_09_26_drive_0005_sync_0000000064,0,0,0,4.43,2.14,0
2011_09_26_drive_0005_sync_0000000003,0,-0.15,-0.37,0,0,0
2011_09_26_drive_0005_sync_0000000089,-0.28,0,0,0,0,0
2011_09_26_drive_0005_sync_0000000061,0,0.19,0.18,2.04,-4.02,2.18
2011_09_26_drive_0005_sync_0000000046,0,-0.36,-0.13,0,3.3,-2.58
2011_09_26_drive_0005_sync_0000000096,0.22,-0.36,0.12,0,0,0
2011_09_26_drive_0005_sync_0000000127,-0.13,0,0.12,0,-3.98,-2.09
2011_09_26_drive_0005_sync_0000000139,-0.19,0,0,-3.63,2.64,0
2011_09_26_drive_0005_sync_0000000000,-0.22,0.11,0,-1.59,0,-2.08
2011_09_26_drive_0009_sync_0000000292,0,0,0,-2.06,0,0
2011_09_26_drive_0009_sync_0000000326,0.11,0,-0.32,0,0,-2.09
2011_09_26_drive_0009_sync_0000000221,-0.41,-0.1,0,0,0,0
2011_09_26_drive_0009_sync_0000000048,0.43,0.48,0,0,0,0.73
2011_09_26_drive_0009_sync_0000000195,0.38,-0.44,-0.45,-2.91,-1.54,0
