name,x,y,z,theta_rad1,theta_rad2,theta_rad3
2011_09_26_drive_0009_sync_0000000256,-0.23,0,0,-3.14,-1.41,0
2011_09_26_drive_0009_sync_0000000356,0,0,-0.21,0,0,0
2011_09_26_drive_0009_sync_0000000136,0,0,0.31,-3.13,0,2.49
2011_09_26_drive_0009_sync_0000000391,-0.34,0.43,0.22,0,0,-4.66
2011_09_26_drive_0009_sync_0000000438,0,0,0.5,0,0,0
2011_09_26_drive_0009_sync_0000000041,0.3,0,0,0,4.26,0
2011_09_26_drive_0009_sync_0000000248,0,-0.1,0,0,0,0
2011_09_26_drive_0009_sync_0000000141,0,0,0,0,0,1.45
2011_09_26_drive_0009_sync_0000000312,-0.29,0,0,-1.77,0,1.31
2011_09_26_drive_0009_sync_0000000084,0,0.14,-0.37,-3.02,-1.89,-2.9
2011_09_26_drive_0009_sync_0000000254,0.26,-0.21,0.14,4.69,4.94,0
2011_09_26_drive_0009_sync_0000000190,-0.32,-0.25,0,-2.92,-3.85,-4.5
2011_09_26_drive_0009_sync_0000000161,0,-0.36,0,0,4.93,3.44
2011_09_26_drive_0009_sync_0000000383,-0.13,0,-0.5,0,1.14,1.57
2011_09_26_drive_0009_sync_0000000344,-0.4,0,0,1.38,-3.2,0
2011_09_26_drive_0009_sync_0000000239,0.37,-0.19,0.1,-2.77,0,-4.41
2011_09_26_drive_0009_sync_0000000336,0.36,0.44,0,-2.33,-1.63,2.22
2011_09_26_drive_0009_sync_0000000398,0,0,0,0,-2.83,-2.1
2011_09_26_drive_0009_sync_0000000196,-0.4,0.19,-0.17,-2.53,0,-2.95
2011_09_26_drive_0009_sync_0000000222,0.34,0.43,0,2.5,0.57,-0.68
2011_09_26_drive_0009_sync_0000000307,0,-0.17,-0.46,-3.54,2.58,2.39
2011_09_26_drive_0009_sync_0000000245,0,-0.23,0,0,0,0
2011_09_26_drive_0009_sync_0000000042,0,0.14,0,0,0,3.23
2011_09_26_drive_0009_sync_0000000037,-0.4,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000386,0,0,0.2,0,0,-2.73
2011_09_26_drive_0009_sync_0000000022,0.27,-0.43,0,4.66,-1.31,3.2
2011_09_26_drive_0009_sync_0000000351,-0.23,-0.37,0,0,1.53,1.41
2011_09_26_drive_0009_sync_0000000108,0,0,0.32,-4.4,0,-4.39
2011_09_26_drive_0009_sync_0000000365,-0.13,0,0.12,-2.2,-4.02,-1.02
2011_09_26_drive_0009_sync_0000000315,-0.2,-0.35,-0.42,-1.84,0,0
2011_09_26_drive_0009_sync_0000000247,-0.24,-0.33,0,-4.48,-0.96,0.55
2011_09_26_drive_0009_sync_0000000298,0,0.34,0,0,0,2.98
2011_09_26_drive_0009_sync_0000000170,-0.34,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000015,-0.4,-0.22,-0.4,2.76,-1.99,0
2011_09_26_drive_0009_sync_0000000224,0,0,0,-4.44,0,0
2011_09_26_drive_0009_sync_0000000265,0.16,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000216,0.47,0.15,0.44,4.05,0,0
2011_09_26_drive_0009_sync_0000000110,0,0,0,-3.69,0,0
2011_09_26_drive_0009_sync_0000000087,0,0,-0.48,0,0,3.45
2011_09_26_drive_0009_sync_0000000043,0,-0.14,0.25,0,-0.89,0
2011_09_26_drive_0009_sync_0000000367,0,0,0.21,-0.5,0,0
2011_09_26_drive_0009_sync_0000000237,-0.12,0,0,1.59,0,0
2011_09_26_drive_0009_sync_0000000316,0.27,0,0.28,1.02,1.65,3.35
2011_09_26_drive_0009_sync_0000000257,0,0.19,-0.24,0,0.53,-1.33
2011_09_26_drive_0009_sync_0000000045,0.37,-0.25,0,4.8,0,0
2011_09_26_drive_0009_sync_0000000287,0,0.43,-0.2,-3.67,0,-4.38
2011_09_26_drive_0009_sync_0000000186,0,0,0,0,-0.58,0
2011_09_26_drive_0009_sync_0000000056,-0.41,0.32,0,0,0,0
2011_09_26_drive_0009_sync_0000000006,0,0,0.3,0,0,1.33
2011_09_26_drive_0009_sync_0000000198,-0.28,0.18,0.13,3.52,0,-1.13
2011_09_26_drive_0009_sync_0000000339,-0.26,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000213,0.41,0.39,-0.16,0,3.15,0.63
2011_09_26_drive_0009_sync_0000000263,0.4,0,0,0,1.62,0
2011_09_26_drive_0009_sync_0000000341,0.44,-0.37,-0.37,2.57,0,-3.77
2011_09_26_drive_0009_sync_0000000253,0,0,0,0,0,-3.56
2011_09_26_drive_0009_sync_0000000020,-0.25,0.13,0.17,0,0,0
2011_09_26_drive_0009_sync_0000000389,-0.19,-0.11,0,-1.46,0,0
2011_09_26_drive_0009_sync_0000000207,-0.31,-0.15,-0.12,2.76,0.56,0
2011_09_26_drive_0009_sync_0000000133,-0.21,0,0,0.91,0,0
2011_09_26_drive_0009_sync_0000000132,0,0,0.12,0,0,0
2011_09_26_drive_0009_sync_0000000122,-0.44,0.11,0.31,0,2.38,2.78
2011_09_26_drive_0009_sync_0000000038,0,0,-0.35,0,0,-1.48
2011_09_26_drive_0009_sync_0000000070,-0.39,0.18,-0.28,-3.15,0,2.73
2011_09_26_drive_0009_sync_0000000262,0.39,-0.21,0,-2.0,0,0
2011_09_26_drive_0009_sync_0000000075,0,0.34,0,0,0,0
2011_09_26_drive_0009_sync_0000000188,0,0,0.19,0,0,0
2011_09_26_drive_0009_sync_0000000416,-0.41,0,-0.21,-2.45,0,0
2011_09_26_drive_0009_sync_0000000164,0,0,0.25,4.64,0,-4.68
2011_09_26_drive_0009_sync_0000000264,0.11,-0.47,0,0,-0.99,2.64
2011_09_26_drive_0009_sync_0000000299,0,0,0.16,0,0,0
2011_09_26_drive_0009_sync_0000000047,0,0,0,0,4.89,0
2011_09_26_drive_0009_sync_0000000318,0.42,-0.22,0,-4.22,-4.69,0
2011_09_26_drive_0009_sync_0000000065,0,0,0,0,4.87,3.91
2011_09_26_drive_0009_sync_0000000242,0.38,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000168,0.47,-0.14,-0.44,-2.55,-1.18,0
2011_09_26_drive_0009_sync_0000000232,-0.27,-0.46,0.48,0,1.03,2.25
2011_09_26_drive_0009_sync_0000000012,0.27,0,-0.46,0,1.78,0
2011_09_26_drive_0009_sync_0000000280,0,0.1,0,0,0,0
2011_09_26_drive_0009_sync_0000000305,-0.47,-0.17,0.44,0,3.96,0.81
2011_09_26_drive_0009_sync_0000000071,0.18,0,-0.16,0,0,-3.76
2011_09_26_drive_0009_sync_0000000013,0,-0.31,0,3.78,0,0
2011_09_26_drive_0009_sync_0000000194,0,0,0,0,0,2.93
2011_09_26_drive_0009_sync_0000000252,0,0,0.15,1.52,2.47,-4.38
2011_09_26_drive_0009_sync_0000000162,-0.22,0.47,0.31,0,0,0
2011_09_26_drive_0009_sync_0000000174,-0.11,0,0,1.13,0,4.52
2011_09_26_drive_0009_sync_0000000379,-0.41,0,0.17,0,0,0
2011_09_26_drive_0009_sync_0000000401,-0.24,0.17,0,1.5,-2.78,-4.6
2011_09_26_drive_0009_sync_0000000019,0.18,0,0,0,-3.0,0
2011_09_26_drive_0009_sync_0000000039,0,0,-0.12,0,0,0
2011_09_26_drive_0009_sync_0000000271,0.1,0,0.37,0,3.44,-1.43
2011_09_26_drive_0009_sync_0000000310,0,0,0,-4.46,0,0
2011_09_26_drive_0009_sync_0000000131,0,0,0.15,2.33,0,-2.06
2011_09_26_drive_0009_sync_0000000417,0,0.14,0,0,2.7,0.9
2011_09_26_drive_0009_sync_0000000059,0.17,0.44,0,-3.0,-4.8,0.98
2011_09_26_drive_0009_sync_0000000027,0.1,0,-0.34,0,0,0
2011_09_26_drive_0009_sync_0000000104,-0.14,0.25,0.15,1.71,0,1.42
2011_09_26_drive_0009_sync_0000000169,0,0,0,1.32,0,0
2011_09_26_drive_0009_sync_0000000335,0.39,0,-0.27,0,2.09,3.04
2011_09_26_drive_0009_sync_0000000360,0,0.45,0.12,0,-4.48,-4.46
2011_09_26_drive_0009_sync_0000000151,0,-0.12,0,0,0,-2.29
2011_09_26_drive_0009_sync_0000000392,0,0,0,-2.7,0,0
2011_09_26_drive_0009_sync_0000000393,0,0,0,0,0,-3.24
2011_09_26_drive_0009_sync_0000000082,-0.43,0.43,0.5,-3.0,-2.62,0
2011_09_26_drive_0009_sync_0000000364,0,0,0,0,0,1.49
2011_09_26_drive_0009_sync_0000000060,-0.34,-0.32,0.46,-2.46,1.45,0
2011_09_26_drive_0009_sync_0000000405,0.3,0,0,2.86,3.12,0
2011_09_26_drive_0009_sync_0000000147,0,0,0.15,0,0,0
2011_09_26_drive_0009_sync_0000000182,-0.35,-0.49,-0.26,0,2.87,-3.22
2011_09_26_drive_0009_sync_0000000249,0,-0.48,0.3,-2.26,-3.29,-1.47
2011_09_26_drive_0009_sync_0000000304,0.15,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000402,0.41,0,0,0.98,0,0
2011_09_26_drive_0009_sync_0000000086,-0.15,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000411,0,0,-0.17,-1.76,3.41,0
2011_09_26_drive_0009_sync_0000000116,0,0,0,0,0,2.24
2011_09_26_drive_0009_sync_0000000394,0,0.22,-0.16,-4.53,1.77,4.6
2011_09_26_drive_0009_sync_0000000266,0,0,0,0,0,3.14
2011_09_26_drive_0009_sync_0000000308,0,0,0.28,0,-4.5,3.96
2011_09_26_drive_0009_sync_0000000267,0,-0.32,0.27,0,4.72,0
2011_09_26_drive_0009_sync_0000000381,0.27,0.19,0.41,0,-1.84,0
2011_09_26_drive_0009_sync_0000000007,0,-0.25,0,0,-4.21,0
2011_09_26_drive_0009_sync_0000000293,0.13,-0.22,0.39,3.29,0,3.81
2011_09_26_drive_0009_sync_0000000212,0.35,-0.34,0,1.23,0,1.42
2011_09_26_drive_0009_sync_0000000102,0,0.32,-0.15,-1.14,-1.48,0
2011_09_26_drive_0009_sync_0000000319,-0.21,0.26,0,3.1,-3.29,0
2011_09_26_drive_0009_sync_0000000372,0.38,-0.47,0,3.08,0,0
2011_09_26_drive_0009_sync_0000000444,-0.46,0,0.1,0,0,0
2011_09_26_drive_0009_sync_0000000327,0,0,0.24,0,-2.27,0
2011_09_26_drive_0009_sync_0000000120,0,0,0,2.99,0,0
2011_09_26_drive_0009_sync_0000000172,0,0,0,-4.95,0,-0.69
2011_09_26_drive_0009_sync_0000000433,-0.33,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000011,0.18,0,0,0,0,1.08
2011_09_26_drive_0009_sync_0000000088,0.12,-0.48,0.29,4.4,0,0.59
2011_09_26_drive_0009_sync_0000000076,0,0.18,0,-1.87,0,0
2011_09_26_drive_0009_sync_0000000276,0,-0.26,0,0,0,-2.37
2011_09_26_drive_0009_sync_0000000175,0,-0.37,0,-3.81,0,-1.19
2011_09_26_drive_0009_sync_0000000192,-0.41,0,-0.49,2.19,0,0
2011_09_26_drive_0009_sync_0000000093,0.42,0,0,2.25,1.6,2.07
2011_09_26_drive_0009_sync_0000000361,-0.31,-0.16,0,0,0,2.74
2011_09_26_drive_0009_sync_0000000062,-0.37,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000363,0,0,0.48,-1.15,0,0
2011_09_26_drive_0009_sync_0000000106,0,-0.34,0.24,-1.79,-2.67,-3.12
2011_09_26_drive_0009_sync_0000000080,0,0,0,0,4.37,0
2011_09_26_drive_0009_sync_0000000300,-0.4,0.3,0,3.14,2.06,-2.19
2011_09_26_drive_0009_sync_0000000032,0.15,0,0,3.76,1.53,-3.08
2011_09_26_drive_0009_sync_0000000026,0,0,0,2.92,-4.82,-4.68
2011_09_26_drive_0009_sync_0000000359,0.41,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000023,-0.19,0,-0.21,-1.8,-4.66,0
2011_09_26_drive_0009_sync_0000000091,0,0.36,-0.41,0,0,0
2011_09_26_drive_0009_sync_0000000377,0.13,0,0,-1.44,0,1.04
2011_09_26_drive_0009_sync_0000000250,0,-0.33,0,1.3,4.26,1.29
2011_09_26_drive_0009_sync_0000000005,0,0,0.49,-2.93,0,0
2011_09_26_drive_0009_sync_0000000018,0,0.27,0,4.6,-1.53,-4.13
2011_09_26_drive_0009_sync_0000000215,0.21,-0.36,-0.33,3.1,-2.84,0
2011_09_26_drive_0009_sync_0000000209,-0.42,0.36,0.4,0,-0.8,-3.79
2011_09_26_drive_0009_sync_0000000422,0,0.34,-0.5,1.51,0,0
2011_09_26_drive_0009_sync_0000000109,0,-0.34,0,0,0,0
2011_09_26_drive_0009_sync_0000000260,0.11,0.24,0.31,2.32,0,2.52
2011_09_26_drive_0009_sync_0000000154,0.43,0,0.44,1.24,4.74,-2.45
2011_09_26_drive_0009_sync_0000000437,-0.41,-0.25,0,-2.0,1.51,-4.01
2011_09_26_drive_0009_sync_0000000202,0,0,0.17,0,0,0
2011_09_26_drive_0009_sync_0000000436,0,-0.26,0,1.95,4.17,1.25
2011_09_26_drive_0009_sync_0000000238,0,0.23,0,0,0,0
2011_09_26_drive_0009_sync_0000000320,0.45,0.35,0,0,-1.64,-4.41
2011_09_26_drive_0009_sync_0000000101,0,0,0,-4.02,0,-1.71
2011_09_26_drive_0009_sync_0000000081,0,0,0.33,0,-3.93,0
2011_09_26_drive_0009_sync_0000000306,0,0,0.32,-2.77,4.5,-4.55
2011_09_26_drive_0009_sync_0000000073,0,-0.47,0,0.79,-4.95,-1.91
2011_09_26_drive_0009_sync_0000000274,0.43,0.25,0.2,1.31,0,-4.99
2011_09_26_drive_0009_sync_0000000140,0,0.36,0,0,0,-2.11
2011_09_26_drive_0009_sync_0000000354,-0.4,-0.33,0.43,0,-4.88,0
2011_09_26_drive_0009_sync_0000000098,-0.28,0.46,0,3.77,0,0.94
2011_09_26_drive_0009_sync_0000000439,0.25,0,-0.26,1.37,4.3,2.99
2011_09_26_drive_0009_sync_0000000294,0,-0.28,0,0.62,-1.95,3.56
2011_09_26_drive_0009_sync_0000000251,0.19,0,-0.17,0,0,-0.61
2011_09_26_drive_0009_sync_0000000311,-0.36,-0.33,0,0,0,0
2011_09_26_drive_0009_sync_0000000171,-0.46,0,0,4.89,0,0
2011_09_26_drive_0009_sync_0000000368,-0.4,0,0,1.59,0,0
2011_09_26_drive_0009_sync_0000000184,0.32,0,-0.24,0,2.75,-4.04
2011_09_26_drive_0009_sync_0000000085,0.44,-0.11,0,4.55,3.67,3.17
2011_09_26_drive_0009_sync_0000000051,0.45,0.32,0,0,-3.05,1.02
2011_09_26_drive_0009_sync_0000000378,0,0,0,-2.04,-1.9,4.59
2011_09_26_drive_0009_sync_0000000068,0,0.17,0,0,0,-4.88
2011_09_26_drive_0009_sync_0000000206,0,0.19,0.14,0,0,1.91
2011_09_26_drive_0009_sync_0000000275,0,0.15,-0.45,0,0.51,0
2011_09_26_drive_0009_sync_0000000025,-0.25,-0.3,0,-3.5,2.35,2.58
2011_09_26_drive_0009_sync_0000000024,0,0.26,0,0,0,0
2011_09_26_drive_0009_sync_0000000403,0,0,0,2.26,0,2.4
2011_09_26_drive_0009_sync_0000000187,0,0.22,-0.49,1.27,0,-2.18
2011_09_26_drive_0009_sync_0000000225,0,0,0,0,0,4.46
2011_09_26_drive_0009_sync_0000000429,0,0.37,0,-4.41,4.66,-0.92
2011_09_26_drive_0009_sync_0000000337,-0.37,0,0,0,0,0
2011_09_26_drive_0009_sync_0000000241,-0.34,0,-0.49,0,0,-4.06
2011_09_26_drive_0009_sync_0000000030,0,0,0.42,4.23,0,0
2011_09_26_drive_0009_sync_0000000442,0,0,0.33,4.88,0,-1.4
2011_09_26_drive_0009_sync_0000000112,0.13,0,0,4.15,2.71,-4.6
2011_09_26_drive_0009_sync_0000000413,-0.24,0.18,0,-1.69,-3.34,2.07
2011_09_26_drive_0009_sync_0000000058,-0.48,0.36,-0.38,0,0,0
